Consistency of Silhouettes and Their Duals [(0.20899746, 'Points'), (0.65163064, 'Graphic')]
Computational Imaging for VLBI Image Reconstruction [(0.19729394, 'Object Detection'), (0.62059647, 'Graphic')]
Less Is More  Zero-Shot Learning From Online Textual Documents With Noise Suppression [(0.20499188, 'Points'), (0.7644381, 'Dataset')]
Robust Visual Place Recognition With Graph Kernels [(0.23721617, 'Points'), (0.2634792, 'Graphic')]
Subspace Clustering With Priors via Sparse Quadratically Constrained Quadratic Programming [(0.21331507, 'Graphic'), (0.7523537, 'Points')]
Multi-Scale Patch Aggregation (MPA) for Simultaneous Detection and Segmentation [(0.28029624, 'Convolution'), (0.6887891, 'Object Detection')]
Synthesized Classifiers for Zero-Shot Learning [(0.16753705, 'Points'), (0.826413, 'Dataset')]
Robust Kernel Estimation With Outliers Handling for Image Deblurring [(0.30973437, 'Graphic'), (0.4489139, 'Object Detection')]
Gravitational Approach for Point Set Registration [(0.2994931, 'Points'), (0.681656, 'Graphic')]
Learning Relaxed Deep Supervision for Better Edge Detection [(0.2982896, 'Object Detection'), (0.4141336, 'Convolution')]
Inextensible Non-Rigid Shape-From-Motion by Second-Order Cone Programming [(0.2570999, 'Points'), (0.7126888, 'Graphic')]
Deep Region and Multi-Label Learning for Facial Action Unit Detection [(0.25140193, 'Object Detection'), (0.32489306, 'Convolution')]
Improving Human Action Recognition by Non-Action Classification [(0.276938, 'Dataset'), (0.540801, 'Video')]
Learning to Read Chest X-Rays  Recurrent Neural Cascade Model for Automated Image Annotation [(0.17172213, 'Convolution'), (0.66290957, 'Dataset')]
VLAD3  Encoding Dynamics of Deep Features for Action Recognition [(0.15039244, 'Dataset'), (0.5207754, 'Video')]
Pairwise Linear Regression Classification for Image Set Retrieval [(0.2714925, 'Video'), (0.4226484, 'Dataset')]
A Hierarchical Deep Temporal Model for Group Activity Recognition [(0.25256932, 'Convolution'), (0.5171479, 'Video')]
Deep Interactive Object Selection [(0.1912378, 'Dataset'), (0.66476315, 'Object Detection')]
Face Alignment Across Large Poses  A 3D Solution [(0.2826295, 'Video'), (0.43630493, 'Graphic')]
ProNet  Learning to Propose Object-Specific Boxes for Cascaded Neural Networks [(0.30225557, 'Convolution'), (0.5081428, 'Object Detection')]
Highway Vehicle Counting in Compressed Domain [(0.1957358, 'Similarity'), (0.24349727, 'Points')]
Kernel Sparse Subspace Clustering on Symmetric Positive Definite Manifolds [(0.035906013, 'Dataset'), (0.82242864, 'Points')]
Soft-Segmentation Guided Object Motion Deblurring [(0.23221682, 'Graphic'), (0.6330379, 'Object Detection')]
Thin-Slicing for Pose  Learning to Understand Pose Without Explicit Pose Estimation [(0.17552732, 'Graphic'), (0.48103824, 'Dataset')]
Harnessing Object and Scene Semantics for Large-Scale Video Understanding [(0.1738588, 'Video'), (0.6105895, 'Dataset')]
Convexity Shape Constraints for Image Segmentation [(0.31273243, 'Object Detection'), (0.4514043, 'Points')]
Bottom-Up and Top-Down Reasoning With Hierarchical Rectified Gaussians [(0.16540068, 'Object Detection'), (0.470415, 'Convolution')]
The Next Best Underwater View [(0.04575191, 'Points'), (0.93735707, 'Graphic')]
Theory and Practice of Structure-From-Motion Using Affine Correspondences [(0.1020647, 'Points'), (0.79230344, 'Graphic')]
Geospatial Correspondences for Multimodal Registration [(0.2665678, 'Object Detection'), (0.3223431, 'Graphic')]
Scalable Sparse Subspace Clustering by Orthogonal Matching Pursuit [(0.053873148, 'Graphic'), (0.9294637, 'Points')]
Multispectral Images Denoising by Intrinsic Tensor Sparsity Regularization [(0.18092655, 'Graphic'), (0.724646, 'Points')]
A Holistic Approach to Cross-Channel Image Noise Modeling and Its Application to Image Denoising [(0.13353671, 'Convolution'), (0.69442517, 'Graphic')]
A Benchmark Dataset and Evaluation for Non-Lambertian and Uncalibrated Photometric Stereo [(0.09391077, 'Object Detection'), (0.80996674, 'Graphic')]
Image Deblurring Using Smartphone Inertial Sensors [(0.1752556, 'Object Detection'), (0.6850766, 'Graphic')]
An Efficient Exact-PGA Algorithm for Constant Curvature Manifolds [(0.36759502, 'Graphic'), (0.61877435, 'Points')]
Neural Module Networks [(0.16764142, 'Convolution'), (0.7374837, 'Dataset')]
Estimating Sparse Signals With Smooth Support via Convex Programming and Block Sparsity [(0.14230545, 'Object Detection'), (0.7016678, 'Points')]
Multivariate Regression on the Grassmannian for Predicting Novel Domains [(0.3635074, 'Points'), (0.47133857, 'Dataset')]
Structure From Motion With Objects [(0.27293178, 'Points'), (0.6315455, 'Graphic')]
Recurrently Target-Attending Tracking [(0.2378772, 'Similarity'), (0.24744868, 'Object Detection')]
Efficient Point Process Inference for Large-Scale Object Detection [(0.3469903, 'Points'), (0.54818004, 'Object Detection')]
Efficient Large-Scale Approximate Nearest Neighbor Search on the GPU [(0.10916492, 'Graphic'), (0.78080446, 'Points')]
Robust Scene Text Recognition With Automatic Rectification [(0.22107635, 'Convolution'), (0.35043362, 'Dataset')]
Symmetry reCAPTCHA [(0.30584764, 'Graphic'), (0.40863377, 'Dataset')]
Interactive Segmentation on RGBD Images via Cue Selection [(0.27494285, 'Graphic'), (0.66707134, 'Object Detection')]
Joint Multiview Segmentation and Localization of RGB-D Images Using Depth-Induced Silhouette Consist [(0.3043464, 'Object Detection'), (0.5797436, 'Graphic')]
Single-Image Crowd Counting via Multi-Column Convolutional Neural Network [(0.19767793, 'Object Detection'), (0.2503806, 'Convolution')]
Unsupervised Learning of Discriminative Attributes and Visual Representations [(0.1928506, 'Object Detection'), (0.6036562, 'Dataset')]
Force From Motion  Decoding Physical Sensation in a First Person Video [(0.23864405, 'Video'), (0.58769244, 'Graphic')]
6D Dynamic Camera Relocalization From Single Reference Image [(0.08337898, 'Points'), (0.81114846, 'Graphic')]
Visual Path Prediction in Complex Scenes With Crowded Moving Objects [(0.21982615, 'Graphic'), (0.36597416, 'Object Detection')]
Efficient Large-Scale Similarity Search Using Matrix Factorization [(0.1707593, 'Dataset'), (0.70759416, 'Points')]
Parametric Object Motion From Blur [(0.35434482, 'Object Detection'), (0.5162874, 'Graphic')]
Automatic Content-Aware Color and Tone Stylization [(0.1755093, 'Object Detection'), (0.62551683, 'Dataset')]
Online Collaborative Learning for Open-Vocabulary Visual Classifiers [(0.26547474, 'Points'), (0.7026407, 'Dataset')]
Just Look at the Image  Viewpoint-Specific Surface Normal Prediction for Improved Multi-View Reconst [(0.12615128, 'Convolution'), (0.71962863, 'Graphic')]
Discovering the Physical Parts of an Articulated Object Class From Multiple Videos [(0.208565, 'Video'), (0.6681177, 'Object Detection')]
Temporal Epipolar Regions [(0.1118927, 'Points'), (0.6338625, 'Graphic')]
Saliency Unified  A Deep Architecture for Simultaneous Eye Fixation Prediction and Salient Object Se [(0.4570981, 'Object Detection'), (0.46763328, 'Convolution')]
A Paradigm for Building Generalized Models of Human Image Perception Through Data Fusion [(0.062324923, 'Points'), (0.74449325, 'Dataset')]
Multi-View People Tracking via Hierarchical Trajectory Composition [(0.19004656, 'Graphic'), (0.30845043, 'Object Detection')]
Robust Optical Flow Estimation of Double-Layer Images Under Transparency or Reflection [(0.17558311, 'Points'), (0.55512416, 'Graphic')]
Pairwise Decomposition of Image Sequences for Active Multi-View Recognition [(0.3755046, 'Graphic'), (0.3884302, 'Dataset')]
ForgetMeNot  Memory-Aware Forensic Facial Sketch Matching [(0.14465998, 'Video'), (0.6860645, 'Dataset')]
Deep Structured Scene Parsing by Learning With Image Descriptions [(0.33708704, 'Object Detection'), (0.4604399, 'Dataset')]
Learning Compact Binary Descriptors With Unsupervised Deep Neural Networks [(0.26149103, 'Similarity'), (0.3203231, 'Dataset')]
Walk and Learn  Facial Attribute Representation Learning From Egocentric Video and Contextual Data [(0.25522548, 'Video'), (0.53181946, 'Dataset')]
Discriminative Invariant Kernel Features  A Bells-and-Whistles-Free Approach to Unsupervised Face Re [(0.24583218, 'Graphic'), (0.39364183, 'Dataset')]
Feature Space Optimization for Semantic Video Segmentation [(0.26545298, 'Points'), (0.27788603, 'Object Detection')]
From Keyframes to Key Objects  Video Summarization by Representative Object Proposal Selection [(0.28816876, 'Points'), (0.49989504, 'Object Detection')]
In the Shadows, Shape Priors Shine  Using Occlusion to Improve Multi-Region Segmentation [(0.32023898, 'Graphic'), (0.3966218, 'Object Detection')]
TI-Pooling  Transformation-Invariant Pooling for Feature Learning in Convolutional Neural Networks [(0.25847313, 'Convolution'), (0.28838086, 'Dataset')]
Bilateral Space Video Segmentation [(0.19537787, 'Points'), (0.5216694, 'Object Detection')]
SVBRDF-Invariant Shape and Reflectance Estimation From Light-Field Cameras [(0.020808708, 'Points'), (0.97325784, 'Graphic')]
When VLAD Met Hilbert [(0.16970527, 'Dataset'), (0.5654189, 'Points')]
An Empirical Evaluation of Current Convolutional Architectures' Ability to Manage Nuisance Location  [(0.31303418, 'Object Detection'), (0.35944632, 'Dataset')]
Deep Supervised Hashing for Fast Image Retrieval [(0.2559508, 'Convolution'), (0.4549856, 'Points')]
Predicting When Saliency Maps Are Accurate and Eye Fixations Consistent [(0.21453653, 'Convolution'), (0.37078914, 'Object Detection')]
A Hierarchical Pose-Based Approach to Complex Action Understanding Using Dictionaries of Actionlets  [(0.15906402, 'Dataset'), (0.5591929, 'Video')]
Material Classification Using Raw Time-Of-Flight Measurements [(0.1740498, 'Dataset'), (0.6343177, 'Graphic')]
Split and Match  Example-Based Adaptive Patch Sampling for Unsupervised Style Transfer [(0.31753376, 'Dataset'), (0.35995844, 'Object Detection')]
Uncalibrated Photometric Stereo by Stepwise Optimization Using Principal Components of Isotropic BRD [(0.28665644, 'Points'), (0.6739798, 'Graphic')]
ScribbleSup  Scribble-Supervised Convolutional Networks for Semantic Segmentation [(0.18676618, 'Dataset'), (0.6855001, 'Object Detection')]
Deep Compositional Captioning  Describing Novel Object Categories Without Paired Training Data [(0.05866359, 'Video'), (0.8703768, 'Dataset')]
Cascaded Interactional Targeting Network for Egocentric Video Analysis [(0.2834738, 'Video'), (0.44225106, 'Object Detection')]
Guaranteed Outlier Removal With Mixed Integer Linear Programs [(0.33176, 'Graphic'), (0.62695694, 'Points')]
Deep Canonical Time Warping [(0.30630726, 'Video'), (0.34670797, 'Points')]
Learning Multi-Domain Convolutional Neural Networks for Visual Tracking [(0.24696635, 'Convolution'), (0.2761656, 'Dataset')]
Situation Recognition  Visual Semantic Role Labeling for Image Understanding  [(0.10606319, 'Video'), (0.74321896, 'Dataset')]
Active Learning for Delineation of Curvilinear Structures [(0.30077553, 'Object Detection'), (0.33639842, 'Dataset')]
Collaborative Quantization for Cross-Modal Similarity Search [(0.46786413, 'Dataset'), (0.49460456, 'Points')]
Volumetric and Multi-View CNNs for Object Classification on 3D Data [(0.32838246, 'Graphic'), (0.40479997, 'Convolution')]
Simultaneous Clustering and Model Selection for Tensor Affinities [(0.12103109, 'Graphic'), (0.8368456, 'Points')]
Yin and Yang  Balancing and Answering Binary Visual Questions [(0.013962637, 'Object Detection'), (0.959102, 'Dataset')]
Proposal Flow [(0.18940064, 'Similarity'), (0.60815996, 'Object Detection')]
Recurrent Attentional Networks for Saliency Detection [(0.26111108, 'Object Detection'), (0.66636324, 'Convolution')]
G-CNN  An Iterative Grid Based Object Detector [(0.21410747, 'Convolution'), (0.63306475, 'Object Detection')]
A Multi-Stream Bi-Directional Recurrent Neural Network for Fine-Grained Action Detection [(0.28430802, 'Convolution'), (0.5525379, 'Video')]
Unconstrained Salient Object Detection via Proposal Subset Optimization [(0.1095095, 'Points'), (0.8173067, 'Object Detection')]
Efficient Training of Very Deep Neural Networks for Supervised Hashing [(0.2820541, 'Convolution'), (0.48122343, 'Points')]
Image Captioning With Semantic Attention [(0.20040445, 'Convolution'), (0.6625632, 'Dataset')]
Structural Correlation Filter for Robust Visual Tracking [(0.17812446, 'Object Detection'), (0.45585313, 'Similarity')]
Blind Image Deblurring Using Dark Channel Prior [(0.28274226, 'Points'), (0.45031232, 'Object Detection')]
Determining Occlusions From Space and Time Image Reconstructions [(0.30381075, 'Object Detection'), (0.5241478, 'Graphic')]
Person Re-Identification by Multi-Channel Parts-Based CNN With Improved Triplet Loss Function [(0.31781265, 'Convolution'), (0.35404593, 'Similarity')]
Recognizing Car Fluents From Video [(0.19641595, 'Video'), (0.51380944, 'Object Detection')]
Track and Segment  An Iterative Unsupervised Approach for Video Object Proposals [(0.18626414, 'Video'), (0.7347928, 'Object Detection')]
Multi-View Deep Network for Cross-View Classification [(0.2239511, 'Convolution'), (0.39929923, 'Dataset')]
The Solution Path Algorithm for Identity-Aware Multi-Object Tracking [(0.20662972, 'Similarity'), (0.33181158, 'Points')]
End-To-End Learning of Action Detection From Frame Glimpses in Videos [(0.2303822, 'Object Detection'), (0.4242237, 'Video')]
Rolling Shutter Camera Relative Pose  Generalized Epipolar Geometry [(0.15150423, 'Points'), (0.7966091, 'Graphic')]
Saliency Guided Dictionary Learning for Weakly-Supervised Image Parsing [(0.28797913, 'Dataset'), (0.4669971, 'Object Detection')]
Similarity Metric For Curved Shapes In Euclidean Space [(0.26153457, 'Points'), (0.6248213, 'Graphic')]
Mixture of Bilateral-Projection Two-Dimensional Probabilistic Principal Component Analysis [(0.19284473, 'Graphic'), (0.59758747, 'Points')]
Mnemonic Descent Method  A Recurrent Process Applied for End-To-End Face Alignment [(0.2270221, 'Points'), (0.296531, 'Convolution')]
NTU RGB+D  A Large Scale Dataset for 3D Human Activity Analysis [(0.19643556, 'Dataset'), (0.3707644, 'Video')]
Comparative Deep Learning of Hybrid Representations for Image Recommendations [(0.16145907, 'Convolution'), (0.71558625, 'Dataset')]
Dense Monocular Depth Estimation in Complex Dynamic Scenes [(0.22003385, 'Object Detection'), (0.62208873, 'Graphic')]
Context-Aware Gaussian Fields for Non-Rigid Point Set Registration [(0.34748864, 'Points'), (0.5732145, 'Graphic')]
Mining 3D Key-Pose-Motifs for Action Recognition [(0.25598904, 'Points'), (0.39647207, 'Video')]
Semantic Object Parsing With Local-Global Long Short-Term Memory [(0.24924265, 'Object Detection'), (0.6129202, 'Convolution')]
The Multiverse Loss for Robust Transfer Learning [(0.31827915, 'Points'), (0.5536453, 'Dataset')]
Real-Time Action Recognition With Enhanced Motion Vector CNNs [(0.25157884, 'Video'), (0.4193849, 'Convolution')]
Regularizing Long Short Term Memory With 3D Human-Skeleton Sequences for Action Recognition [(0.23126914, 'Convolution'), (0.33867192, 'Video')]
Deep Hand  How to Train a CNN on 1 Million Hand Images When Your Data Is Continuous and Weakly Label [(0.25837263, 'Video'), (0.43433353, 'Dataset')]
Visual Word2Vec (vis-w2v)  Learning Visually Grounded Word Embeddings Using Abstract Scenes [(0.9846221, 'Dataset')]
Semantic Channels for Fast Pedestrian Detection [(0.15585458, 'Dataset'), (0.5201332, 'Object Detection')]
Learning Online Smooth Predictors for Realtime Camera Planning Using Recurrent Decision Trees [(0.21279787, 'Dataset'), (0.25003067, 'Graphic')]
Synthetic Data for Text Localisation in Natural Images [(0.25415063, 'Dataset'), (0.4923684, 'Object Detection')]
Hedged Deep Tracking [(0.27078986, 'Convolution'), (0.3916269, 'Similarity')]
Predicting the Where and What of Actors and Actions Through Online Action Localization [(0.36712348, 'Object Detection'), (0.5086472, 'Video')]
Inferring Forces and Learning Human Utilities From Videos [(0.22169974, 'Dataset'), (0.5237398, 'Graphic')]
Pull the Plug  Predicting If Computers or Humans Should Segment Images [(0.31370646, 'Dataset'), (0.65739644, 'Object Detection')]
Joint Unsupervised Deformable Spatio-Temporal Alignment of Sequences [(0.29441234, 'Points'), (0.4082752, 'Video')]
Object Contour Detection With a Fully Convolutional Encoder-Decoder Network [(0.2300831, 'Convolution'), (0.6350141, 'Object Detection')]
Accumulated Stability Voting  A Robust Descriptor From Descriptors of Multiple Scales [(0.24839185, 'Points'), (0.46267027, 'Similarity')]
Efficient Intersection of Three Quadrics and Applications in Computer Vision [(0.37042743, 'Points'), (0.6266854, 'Graphic')]
Incremental Object Discovery in Time-Varying Image Collections [(0.33683082, 'Points'), (0.4990995, 'Object Detection')]
Multicamera Calibration From Visible and Mirrored Epipoles [(0.1974529, 'Points'), (0.78080046, 'Graphic')]
Convolutional Pose Machines [(0.15904528, 'Object Detection'), (0.60284, 'Convolution')]
Panoramic Stereo Videos With a Single Camera [(0.04044806, 'Video'), (0.95054245, 'Graphic')]
Structure Inference Machines  Recurrent Neural Networks for Analyzing Relations in Group Activity Re [(0.22095926, 'Video'), (0.281786, 'Convolution')]
Needle-Match  Reliable Patch Matching Under High Uncertainty [(0.33294314, 'Graphic'), (0.57224387, 'Object Detection')]
Aggregating Image and Text Quantized Correlated Components [(0.20741618, 'Points'), (0.7807488, 'Dataset')]
Blockout  Dynamic Model Selection for Hierarchical Deep Networks [(0.34026387, 'Convolution'), (0.39654145, 'Points')]
Deep Saliency With Encoded Low Level Distance Map and High Level Features [(0.3303964, 'Convolution'), (0.49155715, 'Object Detection')]
Robust Multi-Body Feature Tracker  A Segmentation-Free Approach [(0.2827595, 'Points'), (0.32962155, 'Graphic')]
What Players Do With the Ball  A Physically Constrained Interaction Modeling [(0.22086163, 'Graphic'), (0.42005152, 'Video')]
Understanding Real World Indoor Scenes With Synthetic Data [(0.29697865, 'Graphic'), (0.5194361, 'Dataset')]
Siamese Instance Search for Tracking [(0.22273898, 'Convolution'), (0.31053418, 'Similarity')]
Do It Yourself Hyperspectral Imaging With Everyday Digital Cameras [(0.08545355, 'Points'), (0.891654, 'Graphic')]
Detecting Vanishing Points Using Global Image Context in a Non-Manhattan World [(0.33475688, 'Object Detection'), (0.4803683, 'Graphic')]
Semantic 3D Reconstruction With Continuous Regularization and Ray Potentials Using a Visibility Cons [(0.3965994, 'Points'), (0.43947735, 'Graphic')]
Dense Human Body Correspondences Using Convolutional Networks [(0.15999396, 'Dataset'), (0.48012966, 'Graphic')]
Deep Exemplar 2D-3D Detection by Adapting From Real to Rendered Views [(0.22032477, 'Object Detection'), (0.45168757, 'Dataset')]
MCMC Shape Sampling for Image Segmentation With Nonparametric Shape Priors [(0.31361234, 'Graphic'), (0.3634524, 'Object Detection')]
Efficient Indexing of Billion-Scale Datasets of Deep Descriptors [(0.120058, 'Graphic'), (0.7557531, 'Points')]
Constructing Canonical Regions for Fast and Effective View Selection [(0.32803813, 'Object Detection'), (0.41668755, 'Graphic')]
BORDER  An Oriented Rectangles Approach to Texture-Less Object Recognition [(0.2583907, 'Graphic'), (0.4048697, 'Object Detection')]
Optimal Relative Pose With Unknown Correspondences [(0.19346426, 'Points'), (0.78040713, 'Graphic')]
Learning From the Mistakes of Others  Matching Errors in Cross-Dataset Learning [(0.13502236, 'Points'), (0.70377725, 'Dataset')]
TGIF  A New Dataset and Benchmark on Animated GIF Description [(0.18683474, 'Video'), (0.70909023, 'Dataset')]
Minimizing the Maximal Rank [(0.2616792, 'Graphic'), (0.7378251, 'Points')]
Visual7W  Grounded Question Answering in Images [(0.096800454, 'Object Detection'), (0.8299481, 'Dataset')]
Structured Regression Gradient Boosting [(0.18548377, 'Convolution'), (0.42059934, 'Points')]
Top-Push Video-Based Person Re-Identification [(0.28787136, 'Dataset'), (0.37678742, 'Similarity')]
Generation and Comprehension of Unambiguous Object Descriptions [(0.20055723, 'Object Detection'), (0.74102527, 'Dataset')]
On Benefits of Selection Diversity via Bilevel Exclusive Sparsity [(0.2825228, 'Dataset'), (0.66679424, 'Points')]
Iterative Instance Segmentation [(0.15183449, 'Dataset'), (0.58303726, 'Object Detection')]
HD Maps  Fine-Grained Road Segmentation by Parsing Ground and Aerial Images [(0.23657699, 'Graphic'), (0.5783938, 'Object Detection')]
Learning Temporal Regularity in Video Sequences [(0.26937982, 'Video'), (0.39954966, 'Convolution')]
Learning to Match Aerial Images With Deep Attentive Architectures [(0.24711516, 'Convolution'), (0.27663803, 'Dataset')]
Weakly Supervised Object Boundaries [(0.26912653, 'Dataset'), (0.7100467, 'Object Detection')]
Ask Me Anything  Free-Form Visual Question Answering Based on Knowledge From External Sources [(0.09373164, 'Convolution'), (0.877384, 'Dataset')]
Non-Local Image Dehazing [(0.31649226, 'Object Detection'), (0.61800474, 'Graphic')]
Blind Image Deconvolution by Automatic Gradient Activation [(0.2584404, 'Graphic'), (0.5323367, 'Points')]
Face2Face  Real-Time Face Capture and Reenactment of RGB Videos [(0.3522769, 'Video'), (0.49382895, 'Graphic')]
Deep Residual Learning for Image Recognition [(0.24978045, 'Points'), (0.6105097, 'Convolution')]
Fashion Style in 128 Floats  Joint Ranking and Classification Using Weak Data for Feature Extraction [(0.2270057, 'Convolution'), (0.6265697, 'Dataset')]
Deep Relative Distance Learning  Tell the Difference Between Similar Vehicles [(0.30157578, 'Similarity'), (0.4260525, 'Dataset')]
Coherent Parametric Contours for Interactive Video Object Segmentation [(0.24355294, 'Graphic'), (0.5812506, 'Object Detection')]
Efficient 3D Room Shape Recovery From a Single Panorama [(0.22497472, 'Object Detection'), (0.72244155, 'Graphic')]
Compact Bilinear Pooling [(0.31191936, 'Points'), (0.3576101, 'Convolution')]
Group MAD Competition - A New Methodology to Compare Objective Image Quality Models [(0.22578463, 'Object Detection'), (0.5132353, 'Dataset')]
Learning Sparse High Dimensional Filters  Image Filtering, Dense CRFs and Bilateral Neural Networks  [(0.2847568, 'Points'), (0.30055565, 'Convolution')]
Large Scale Hard Sample Mining With Monte Carlo Tree Search [(0.24322319, 'Dataset'), (0.5368831, 'Object Detection')]
D3  Deep Dual-Domain Based Fast Restoration of JPEG-Compressed Images [(0.29941133, 'Convolution'), (0.43936962, 'Points')]
We Are Humor Beings  Understanding and Predicting Visual Humor [(0.053351324, 'Object Detection'), (0.88984704, 'Dataset')]
EmotioNet  An Accurate, Real-Time Algorithm for the Automatic Annotation of a Million Facial Express [(0.23755346, 'Points'), (0.39855406, 'Dataset')]
Fast Detection of Curved Edges at Low SNR [(0.29951367, 'Points'), (0.5308582, 'Object Detection')]
Video Segmentation via Object Flow [(0.13930155, 'Video'), (0.7836851, 'Object Detection')]
Eye Tracking for Everyone [(0.2694715, 'Dataset'), (0.27418402, 'Graphic')]
Latent Variable Graphical Model Selection Using Harmonic Analysis  Applications to the Human Connect [(0.20395288, 'Graphic'), (0.67009866, 'Points')]
Conformal Surface Alignment With Optimal Mobius Search [(0.34299064, 'Points'), (0.599694, 'Graphic')]
Discriminatively Embedded K-Means for Multi-View Clustering [(0.17999034, 'Graphic'), (0.6013165, 'Points')]
Cross Modal Distillation for Supervision Transfer [(0.2820516, 'Convolution'), (0.58522236, 'Dataset')]
Natural Language Object Retrieval [(0.27806547, 'Object Detection'), (0.5550008, 'Dataset')]
Monocular Depth Estimation Using Neural Regression Forest [(0.28136504, 'Graphic'), (0.31037647, 'Convolution')]
Learning Local Image Descriptors With Deep Siamese and Triplet Convolutional Networks by Minimising  [(0.24984168, 'Dataset'), (0.32079533, 'Convolution')]
Attention to Scale  Scale-Aware Semantic Image Segmentation [(0.14868984, 'Object Detection'), (0.6845515, 'Convolution')]
A Probabilistic Framework for Color-Based Point Set Registration [(0.40853328, 'Points'), (0.45733193, 'Graphic')]
Ordinal Regression With Multiple Output CNN for Age Estimation [(0.26406786, 'Convolution'), (0.26751444, 'Dataset')]
Large-Scale Location Recognition and the Geometric Burstiness Problem [(0.19307491, 'Graphic'), (0.4809048, 'Dataset')]
Mirror Surface Reconstruction Under an Uncalibrated Camera [(0.051906586, 'Points'), (0.9476846, 'Graphic')]
Closed-Form Training of Mahalanobis Distance for Supervised Clustering [(0.25161693, 'Dataset'), (0.571497, 'Points')]
Semantic Segmentation With Boundary Neural Fields [(0.15555148, 'Points'), (0.68739253, 'Object Detection')]
Context Encoders  Feature Learning by Inpainting [(0.3156441, 'Dataset'), (0.33542797, 'Convolution')]
Weakly Supervised Object Localization With Progressive Domain Adaptation [(0.42352882, 'Dataset'), (0.49308768, 'Object Detection')]
DeepStereo  Learning to Predict New Views From the World's Imagery [(0.2721057, 'Convolution'), (0.5401118, 'Graphic')]
Similarity Learning With Spatial Constraints for Person Re-Identification [(0.20494525, 'Points'), (0.5411618, 'Similarity')]
A Weighted Variational Model for Simultaneous Reflectance and Illumination Estimation [(0.3190102, 'Points'), (0.5929951, 'Graphic')]
From Noise Modeling to Blind Image Denoising [(0.39171997, 'Graphic'), (0.5058854, 'Points')]
Unsupervised Learning From Narrated Instruction Videos [(0.329682, 'Dataset'), (0.40578276, 'Video')]
Convolutional Networks for Shape From Light Field [(0.13709344, 'Points'), (0.622285, 'Graphic')]
ReconNet  Non-Iterative Reconstruction of Images From Compressively Sensed Measurements [(0.29387373, 'Points'), (0.36371818, 'Graphic')]
